"city","state","lat","lon"
"Matlock","WA",47.2379,-123.4079
"Longbranch","WA",47.2257,-122.7739
"North Bonneville","WA",45.6425,-121.9689
"Pomeroy","WA",46.4737,-117.5967
"Colville","WA",48.5454,-117.8986
"Palmer","WA",47.3143,-121.8923
"Skyway","WA",47.4915,-122.2543
"Medina","WA",47.6256,-122.2338
"Algona","WA",47.282,-122.2503
"Nine Mile Falls","WA",47.7757,-117.5461
"Black Diamond","WA",47.313,-122.0181
"Gold Bar","WA",47.8566,-121.6927
"Mesa","WA",46.5737,-119.0013
"Cavalero Corner","WA",47.9782,-122.1349
"Lilliwaup","WA",47.4634,-123.1143
"La Conner","WA",48.3927,-122.4945
"Sheridan Beach","WA",47.7448,-122.2882
"Emden","WA",47.1046,-118.1227
"Markham","WA",46.9155,-123.9814
"Eltopia","WA",46.4587,-119.0172
"Stevenson","WA",45.6943,-121.8932
"Greenwater","WA",47.1465,-121.632
"Copalis Beach","WA",47.1205,-124.1722
"Roosevelt","WA",47.8923,-122.0123
"La Crosse","WA",46.8014,-117.9026
"Summit","WA",47.1694,-122.3628
"Ohop","WA",46.9457,-122.1907
"Malden","WA",47.2296,-117.4731
"Beverly","WA",46.8368,-119.9331
"Prosser","WA",46.2066,-119.7662
"Lake Roesiger","WA",47.9839,-121.9129
"Fern Prairie","WA",45.637,-122.3963
"Maple Valley","WA",47.366,-122.0369
"Gifford","WA",48.3063,-118.1464
"Auburn","WA",47.3041,-122.211
"Burton","WA",47.389,-122.4607
"Kewa","WA",48.201,-118.2786
"Carrolls","WA",46.0715,-122.8623
"Bayne","WA",47.2951,-121.9096
"East Cathlamet","WA",46.1968,-123.358
"Purdy","WA",47.3938,-122.6114
"Kapowsin","WA",46.9727,-122.2272
"Ketron","WA",47.1569,-122.6343
"Connell","WA",46.6626,-118.8404
"Lincoln","WA",47.829,-118.415
"Clear Lake","WA",48.4561,-122.2378
"Kittitas","WA",46.9837,-120.4192
"Bucoda","WA",46.7968,-122.868
"Ardenvoir","WA",47.7373,-120.369
"Ellisport","WA",47.4204,-122.4354
"Bainbridge Island","WA",47.6439,-122.5434
"Danville","WA",48.9938,-118.5068
"Hazelwood","WA",47.5509,-122.1915
